ECG	Heart Rate
-0.0402832	0
-0.0390625	0
-0.0375366	0
-0.0363159	0
-0.0357056	0
-0.0357056	0
-0.0366211	0
-0.0378418	0
-0.0384521	0
-0.0384521	0
-0.0372314	0
-0.0350952	0
-0.0326538	0
-0.0299072	0
-0.0268555	0
-0.0234985	0
-0.0198364	0
-0.015564	0
-0.010376	0
-0.00488281	0
0.000915527	0
0.00640869	0
0.0112915	0
0.0158691	0
0.0192261	0
0.0222778	0
0.0247192	0
0.0271606	0
0.0292969	0
0.0308228	0
0.0308228	0
0.0289917	0
0.0253296	0
0.0201416	0
0.0140381	0
0.00762939	0
0.0012207	0
-0.00549316	0
-0.0125122	0
-0.0201416	0
-0.027771	0
-0.0363159	0
-0.0445557	0
-0.0534058	0
