ECG	Heart Rate
-0.316772	130.719
-0.381165	130.719
-0.435791	130.719
-0.480347	130.719
-0.514526	130.719
-0.538635	130.719
-0.553284	130.719
-0.558777	130.719
-0.556335	130.719
-0.547485	130.719
-0.532837	130.719
-0.514221	130.719
-0.491943	130.719
-0.467834	130.719
-0.44281	130.719
-0.41748	130.719
-0.393066	130.719
-0.369873	130.719
-0.348511	130.719
-0.329285	130.719
-0.3125	130.719
-0.299072	130.719
-0.288391	130.719
-0.280762	130.719
-0.276184	130.719
-0.274048	130.719
-0.273743	130.719
-0.275269	130.719
-0.27771	130.719
-0.280762	130.719
-0.284424	130.719
-0.287781	130.719
-0.291443	130.719
-0.2948	130.719
-0.298157	130.719
-0.300903	130.719
-0.30304	130.719
-0.30426	130.719
-0.30426	130.719
-0.30365	130.719
-0.302734	130.719
-0.300903	130.719
-0.298767	130.719
-0.296326	130.719
-0.293579	130.719
-0.290527	130.719
-0.287781	130.719
-0.284424	130.719
-0.281067	130.719
-0.2771	130.719
-0.273438	130.719
-0.26947	130.719
-0.265808	130.719
-0.262451	130.719
-0.259399	130.719
-0.257263	130.719
-0.255127	130.719
-0.253296	130.719
-0.25116	130.719
-0.249023	130.719
-0.246887	130.719
-0.244751	130.719
-0.24292	130.719
-0.241089	130.719
-0.239258	130.719
-0.237427	130.719
-0.235901	130.719
-0.23407	130.719
-0.231934	130.719
-0.229492	130.719
-0.22644	130.719
-0.223389	130.719
-0.219727	130.719
-0.21637	130.719
-0.212402	130.719
-0.208435	130.719
-0.204163	130.719
-0.19928	130.719
-0.194397	130.719
-0.189209	130.719
-0.184021	130.719
-0.178528	130.719
-0.17334	130.719
-0.167847	130.719
-0.162354	130.719
-0.157166	130.719
-0.151978	130.719
-0.147095	130.719
-0.142212	130.719
-0.137024	130.719
-0.132141	130.719
-0.127258	130.719
-0.122375	130.719
-0.117798	130.719
-0.11322	130.719
-0.108643	130.719
-0.10376	130.719
-0.098877	130.719
-0.093689	130.719
-0.088501	130.719
-0.0830078	130.719
-0.078125	130.719
-0.0726318	130.719
-0.0671387	130.719
-0.0610352	130.719
-0.0546265	130.719
-0.0476074	130.719
-0.039978	130.719
-0.0320435	130.719
-0.0241089	130.719
-0.0161743	130.719
-0.00793457	130.719
0.000305176	130.719
0.00915527	130.719
0.0186157	130.719
0.0283813	130.719
0.038147	130.719
0.0479126	130.719
0.0579834	130.719
0.0680542	130.719
0.0778198	130.719
0.0872803	130.719
0.0964355	130.719
0.105286	130.719
0.11322	130.719
0.120544	130.719
0.127258	130.719
0.133667	130.719
0.13916	130.719
0.144043	130.719
0.148621	130.719
0.152893	130.719
0.15686	130.719
0.161133	130.719
0.165405	130.719
0.169983	130.719
0.174866	130.719
0.179749	130.719
0.184937	130.719
0.190125	130.719
0.195313	130.719
0.200195	130.719
0.205078	130.719
0.209961	130.719
0.214539	130.719
0.219421	130.719
0.224609	130.719
0.230408	130.719
0.236206	130.719
0.241699	130.719
0.246582	130.719
0.250854	130.719
0.254517	130.719
0.256958	130.719
0.258179	130.719
0.257874	130.719
0.256042	130.719
0.253296	130.719
0.249329	130.719
0.244446	130.719
0.238953	130.719
0.232544	130.719
0.225525	130.719
0.218201	130.719
0.210571	130.719
0.202332	130.719
0.193787	130.719
0.184937	130.719
0.175781	130.719
0.166626	130.719
0.157471	130.719
0.14801	130.719
0.138855	130.719
0.1297	130.719
0.12085	130.719
0.112	130.719
0.10376	130.719
0.09552	130.719
0.0875854	130.719
0.0796509	130.719
0.0720215	130.719
0.0640869	130.719
0.0564575	130.719
0.0488281	130.719
0.0415039	130.719
0.0341797	130.719
0.0271606	130.719
0.0198364	130.719
0.0119019	130.719
0.00396729	130.719
-0.00457764	130.719
-0.0134277	130.719
-0.022583	130.719
-0.0314331	130.719
-0.0402832	130.719
-0.0485229	130.719
-0.0564575	130.719
-0.0637817	130.719
-0.071106	130.719
-0.0778198	130.719
-0.0848389	130.719
-0.0909424	130.719
-0.0970459	130.719
-0.102234	130.719
-0.106812	130.719
-0.110779	130.719
-0.114441	130.719
-0.117493	130.719
-0.119934	130.719
-0.12207	130.719
-0.123596	130.719
-0.124817	130.719
-0.125427	130.719
-0.126038	130.719
-0.126648	130.719
-0.126648	130.719
-0.126648	130.719
-0.126953	130.719
-0.127563	130.719
-0.128479	130.719
-0.129395	130.719
-0.13092	130.719
-0.132141	130.719
-0.133057	130.719
-0.133972	130.719
-0.134277	130.719
-0.134888	130.719
-0.135193	130.719
-0.136414	130.719
-0.138245	130.719
-0.140381	130.719
-0.143127	130.719
-0.145569	130.719
-0.147705	130.719
-0.149231	130.719
-0.150757	130.719
-0.151978	130.719
-0.153503	130.719
-0.155029	130.719
-0.15686	130.719
-0.158691	130.719
-0.160828	130.719
-0.163269	130.719
-0.165405	130.719
-0.167542	130.719
-0.169678	130.719
-0.171204	130.719
-0.172424	130.719
-0.17334	130.719
-0.17395	130.719
-0.174561	130.719
-0.174866	130.719
-0.174866	130.719
-0.174866	130.719
-0.174561	130.719
-0.174866	130.719
-0.174866	130.719
-0.175476	130.719
-0.176086	130.719
-0.177002	130.719
-0.177612	130.719
-0.177917	130.719
